,col-pi,col-tt,col-gu,col-le,col-pac,col-sho,col-vl,col-bp,col-wg,col-def,col-phy,col-ae,col-pas,col-dri,col-oa,col-pt,Contract,Name,Team
0,245940,1901,10,N/A,89,71,€12.5M,ST,€17K,52,70,20,61,80,75,85,2019 ~ 2024, S. Wamangituka,VfB Stuttgart  
1,232488,1674,6,"Jun 30, 2021",68,35,€20.5M,CB,€55K,79,79,22,45,56,78,84,"Jun 30, 2021 On Loan", C. Romero,"AtalantaJun ,  On Loan"
2,211302,1762,0,N/A,72,70,€1.8M,ST,€13K,24,61,30,57,73,71,71,2020 ~ 2023, G. Lapadula,Benevento  
3,235212,2150,5,N/A,94,71,€56M,RM,€90K,73,77,21,77,83,83,88,2020 ~ 2025, A. Hakimi,Inter  
4,202811,1442,2,N/A,83,83,€33M,GK,€64K,58,82,27,82,83,83,85,2020 ~ 2024, E. Martínez,Aston Villa  
5,187926,1717,8,N/A,67,59,€0,RM,€0,39,62,20,65,73,67,75,Free,  Gabriel Pimba, BrazilFree
6,240690,1917,7,N/A,88,71,€21.5M,ST,€25K,45,62,22,66,83,77,84,2018 ~ 2025, N. González,VfB Stuttgart  
7,244067,1699,7,N/A,84,33,€19.5M,CB,€28K,78,77,20,55,59,77,84,2020 ~ 2024, M. Lacroix,VfL Wolfsburg  
8,231936,1661,11,N/A,69,27,€15.5M,CB,€40K,77,76,22,61,67,76,87,2015 ~ 2024, B. White,Brighton & Hove Albion  
9,233927,2155,5,N/A,75,73,€32M,CAM,€61K,68,77,22,78,83,80,85,2020 ~ 2025, Lucas Paquetá,Olympique Lyonnais  
10,241202,1838,7,N/A,93,78,€21.5M,ST,€24K,24,70,21,59,76,77,84,2017 ~ 2024, P. Daka,FC Red Bull Salzburg  
11,239085,2086,6,N/A,87,90,€122.5M,ST,€72K,45,87,19,65,79,87,93,2020 ~ 2024, E. Haaland,Borussia Dortmund  
12,231410,1746,9,"Jun 30, 2021",76,67,€16.5M,CAM,€81K,30,44,20,71,81,76,85,"Jun 30, 2021 On Loan", Brahim,"MilanJun ,  On Loan"
13,171877,2154,0,N/A,70,76,€20M,CM,€9K,72,72,32,82,81,81,81,2021 ~ 2021, M. Hamšík,IFK Göteborg  
14,219862,1830,0,N/A,79,76,€8M,ST,€6K,31,80,27,57,68,76,76,2020 ~ 2021, M. Borja,Junior FC  
15,215368,1912,0,N/A,79,64,€3.1M,RM,€23K,64,72,28,67,72,73,73,2015 ~ 2023, R. Ranftl,LASK Linz  
16,233731,1896,5,N/A,83,81,€31.5M,ST,€29K,29,69,20,68,79,80,85,2019 ~ 2024, A. Isak,Real Sociedad  
17,237692,2035,9,N/A,81,76,€79.5M,CAM,€115K,56,56,20,79,86,83,92,2016 ~ 2024, P. Foden,Manchester City  
18,228093,1977,6,N/A,82,79,€28M,ST,€37K,48,77,22,70,80,79,85,2019 ~ 2023, M. Thuram,Borussia Mönchengladbach  
19,212616,2066,2,N/A,75,77,€26M,CAM,€23K,55,65,26,83,82,80,82,2016 ~ 2024, R. De Paul,Udinese  
20,208045,1957,1,N/A,78,75,€9M,CAM,€19K,41,73,26,73,78,76,77,2019 ~ 2022, O. Tannane,Vitesse  
21,246104,2033,12,N/A,74,74,€24.5M,CAM,€6K,66,72,18,74,81,77,89,2018 ~ 2023, R. Gravenberch,Ajax  
22,158023,2231,0,N/A,85,92,€103.5M,RW,€560K,38,65,33,91,95,93,93,2004 ~ 2021, L. Messi,FC Barcelona  
23,252145,1996,10,N/A,84,57,€21M,LWB,€4K,74,70,18,68,74,77,87,2019 ~ 2025, Nuno Mendes,Sporting CP  
24,228251,2112,4,N/A,75,71,€25M,CM,€49K,72,69,24,81,77,79,83,2017 ~ 2022, L. Pellegrini,Roma  
25,206517,2015,3,N/A,79,76,€49.5M,CAM,€82K,46,64,24,83,86,83,86,2012 ~ 2025, J. Grealish,Aston Villa  
26,247827,1827,13,N/A,78,58,€5.5M,CAM,€4K,48,51,18,72,76,72,85,2018 ~ 2022, M. Olise,Reading  
27,251854,1947,14,N/A,81,68,€24M,CAM,€15K,57,60,17,75,81,77,91,2020 ~ 2022, Pedri,FC Barcelona  
28,224293,2175,5,N/A,63,75,€46M,CM,€89K,74,73,23,85,77,82,87,2017 ~ 2023, Rúben Neves,Wolverhampton Wanderers  
29,176054,1519,0,N/A,53,68,€500K,ST,€4K,25,64,29,53,61,67,67,2010 ~ 2012,  Dady,SC Olhanense  
30,252371,2015,12,N/A,77,69,€17M,CAM,€6K,68,73,17,72,78,76,88,2020 ~ 2023, J. Bellingham,Borussia Dortmund  
31,246618,1881,13,N/A,78,73,€9.5M,ST,€500,30,77,17,69,75,74,87,2019 ~ 2022, A. Hložek,Sparta Praha  
32,207897,1926,0,N/A,72,60,€1.6M,CB,€13K,72,77,28,66,65,71,71,2018 ~ 2021, A. Jung,Brøndby IF  
33,231747,2157,5,N/A,96,87,€185.5M,ST,€160K,39,76,21,78,91,90,95,2018 ~ 2022, K. Mbappé,Paris Saint-Germain  
34,256630,1897,13,N/A,74,67,€17M,CAM,€7K,51,58,17,73,82,76,89,2020 ~ 2026, F. Wirtz,Bayer  Leverkusen  
35,226162,2052,5,N/A,74,71,€21M,CAM,€13K,64,67,23,79,82,78,83,2018 ~ 2024, E. Buendía,Norwich City  
36,251517,1942,14,N/A,84,54,€6.5M,CB,€500,70,83,18,64,71,73,87,2019 ~ 2025, J. Gvardiol,Dinamo Zagreb  
37,248243,2086,11,N/A,73,65,€29M,CM,€6K,75,76,17,76,80,78,89,2019 ~ 2022, E. Camavinga,Stade Rennais FC  
38,20801,2221,0,N/A,89,93,€63M,ST,€220K,35,77,35,81,89,92,92,2018 ~ 2022, Cristiano Ronaldo,Juventus  
39,246420,1750,12,N/A,92,63,€10M,RW,€16K,25,65,18,61,82,74,86,2020 ~ 2025, J. Doku,Stade Rennais FC  
40,231340,2013,7,N/A,86,53,€27M,RWB,€15K,73,81,23,70,73,78,85,2015 ~ 2022, G. Montiel,River Plate  
